index,showTime,danmuType,color,fontSize,content,submitTime,sender
"94","507.5","R2L","FFFFFF","25","结果原著是科幻小说","1548149880","c1bd95ca"
"95","500.248","R2L","FFFFFF","25","用翻盖设备看 管它贞子还是小怪兽 敢出来就夹死","1512392605","dc6e7acb"
"96","500.497","R2L","FFFFFF","25","2凶铃再现3贞子缠身4贞相大白，就这样","1552162412","3f8b2919"
"97","502.739","R2L","FFFFFF","25","贞子是凶级叫狂级来怼他","1528444354","e63a5b8b"
"98","503.083","R2L","FFFFFF","25","小说更好看，小说叫《环》","1522049531","6bf214f9"
"99","501.779","R2L","FFFFFF","25","那就伪装成小电影发百度 云","1512388412","4fb8c495"
"100","494.009","R2L","E70012","25","等贞子出来就拿加特林爆她头","1512489155","8940765c"
"101","494.009","R2L","E70012","25","谁知贞子竟说","1512489075","8940765c"
"102","494.009","R2L","E70012","25","你的快递","1512489082","8940765c"
"103","494.467","R2L","FFFFFF","25","3","1512537713","6c7d0e18"
"104","495.646","R2L","FFFFFF","25","要是壁挂电视咋办？","1516843008","2223461"
"105","491.503","R2L","FFFFFF","25","上他啊","1512381059","e645dec1"
"106","493.356","R2L","E70012","25","一个美国军老作死，","1512489129","8940765c"
"107","492.418","TOP","00CC00","25","电视剧的那是咒怨吧","1512543842","79df5a21"
"108","491.067","R2L","FFFFFF","25","辣鸡","1512377527","a322aca9"
"109","493.054","TOP","FEF102","25","要是我看见贞子小姐姐……她会被我吓跑的………","1553994071","64ee93ad"
"110","492.299","R2L","FFFFFF","25","刘巧巧附体","1549914620","fc62a74c"
"111","493.551","R2L","FFFFFF","25","把俩电视面对面放着，让丫来回穿梭","1567920738","3a122307"
"112","489.513","R2L","FFFFFF","25","就这鬼在道士眼里，一个金光咒，外加雷法，让它不死也废","1515499901","346ab04b"
"113","489.257","R2L","FFFFFF","25","电视对着窗外","1536370146","6a6a24df"
"114","487.399","R2L","FFFFFF","25","贞子小姐姐很美的","1512447132","ed814d25"
"115","484.9","R2L","FFFFFF","25","要是我直接电视对墙你出来我看看，","1512873521","2ed4b238"
"116","487.152","R2L","FFFFFF","25","要是脱了裤子，把贞子推倒会怎么样，答会变成爱情动作片","1512873860","2ed4b238"
"117","477.872","R2L","07FFFF","25","护眼  鸭鸭鸭","1544617204","3d3af93b"
"118","481.302","R2L","FFFFFF","25","5毛你说的是国产吧","1512391126","cb365008"
"119","478.599","R2L","FFFFFF","25","小姐姐我不敢想","1512469572","1a5d3339"
"120","482.545","R2L","FFFFFF","25","66666看了弹幕突然想笑","1514632601","29f459cd"
"121","482.02","R2L","FFFFFF","25","用了飘柔吗","1519791765","c59ba4c5"
"122","472.788","TOP","FFFFFF","25","老子直接一把桃木剑往她头上呼","1512997885","dea1427b"
"123","471.92","R2L","FFFFFF","25","给大树看","1513675692","6a919ace"
"124","476.125","R2L","E70012","25","一脚把她踹回电视里去","1549872973","b8a5bc10"
"125","473.268","R2L","FFFFFF","25","阿们","1518249169","4c13ac86"
"126","472.233","R2L","FFFFFF","25","电视剧版的也不错","1512378479","a8a705b"
"127","473.731","R2L","FFFFFF","25","哇贞子姐姐的头发好顺滑","1532246067","2df9fa8d"
"128","475.09","R2L","FFFFFF","25","第二部","1532487004","cd1d3e25"
"129","475.752","R2L","FFFFFF","25","新的风暴已经出现","1512388989","71f9c398"
"130","468.876","R2L","FFFFFF","25","我觉得可以寄去监狱","1512391103","cb365008"
"131","469.575","R2L","FFFFFF","25","╭(°A°`)╮","1512397229","236352ea"
"132","470.889","R2L","002E72","25","空间那些转发什么的不会就是玩的这个梗吧","1512862157","dd6914bb"
"133","468.905","R2L","FFFFFF","25","开直播放给大家一起看，累死贞子吖的","1514460592","5fa4e250"
"134","467.114","R2L","FFFFFF","25","有意点开，不服solo","1514541958","7d9e503b"
"135","464.601","R2L","FFFFFF","25","给老师看","1512391565","20a8c3c7"
"136","462.105","R2L","FFFFFF","25","给蚂蚁看啊","1512382860","8bed6d4a"
"137","462.886","R2L","FFFFFF","25","这是要坑爹啊","1512380023","c1f21f06"
"138","461.525","R2L","FFFFFF","25","给狗看哈哈哈哈","1536370054","6a6a24df"
"139","462.058","R2L","E70012","25","别人坑爹，这是杀爹和船长一个尿性啊","1512394207","6b1cd7d5"
"140","465.593","R2L","FFFFFF","25","不觉得恐怖","1520354492","81818852"
"141","462.362","R2L","FFFFFF","25","大家轮着看不就好了","1521022629","a4e475fa"
"142","463.112","R2L","FFFFFF","25","心疼他爸","1512378158","c3f1cd53"
"143","464.24","R2L","FFFFFF","25","不转发就啥啥？","1534163233","ab809acb"
"144","456.882","R2L","FFFFFF","25","前夫死的冤哪","1534484863","7d2369fd"
"145","456.654","R2L","FFFFFF","25","真 实力坑爹","1522843408","5d3be9ef"
"146","457.14","R2L","FFFFFF","25","把这里烧了不行吗","1512379934","f17f12f1"
"147","457","R2L","FFFFFF","25","要是无法分泌肾上腺素呢，是不是吓不死了","1512390127","dca32968"
"148","459.808","R2L","FFFFFF","25","坑爹","1512577595","10095e2"
"149","455.481","R2L","FFFFFF","25","给狗看的你够了","1513504224","88e3e2f2"
"150","458.141","R2L","E70012","25","一早就应该献给国家，死刑的话连子弹都省了，而且无痛，很“人道”","1512456843","53cb643b"
"151","457.792","R2L","FFFFFF","25","坑爹呀","1526442959","70170db8"
"152","456.764","R2L","FFFFFF","25","传销23333","1527004889","82e513e8"
"153","460.406","R2L","FFFFFF","25","坑爹","1520314845","80c41b95"
"154","458.878","R2L","FFFFFF","25","点击分享保命，我靠","1512391598","d261a969"
"155","457.042","R2L","FFFFFF","25","话说为什么要坑爹","1513441662","a97d72ac"
"156","460.473","R2L","FFFFFF","25","我的冒蓝火的加特林已经饥渴难耐了","1516774347","3465936b"
"157","457.739","R2L","FFFFFF","25","沙爹","1512388319","4fb8c495"
"158","458.1","TOP","E70012","25","神会保佑我们的，阿门","1512379258","e51cce7a"
"159","455.399","R2L","FFFFFF","25","坑前夫 坑儿子 坑爹 厉害了","1514039492","8b868a36"
"160","456.715","R2L","FFFFFF","25","坑爹","1562300243","834df3d9"
"161","459.522","R2L","FFFFFF","25","坑爹者","1517108615","6038ad6e"
"162","459.467","R2L","FFFFFF","25","不亏是女人","1546322494","11ac3966"
"163","456.825","R2L","FFFFFF","25","为什么要害????？狗","1512433442","d67bc4ab"
"164","459.814","TOP","FFFFFF","25","注意，是人","1512880409","c57cb028"
"165","459.158","R2L","FFFFFF","25","←狗：mmp","1512391085","cb365008"
"166","455.659","R2L","FFFFFF","25","额，让一个亲朋好友看一遍然后让ta传给另一个人看不就好了吗","1533721071","8c2ee703"
"167","460.18","R2L","FFFFFF","25","放在电视台向全国放","1513914132","6879badf"
"168","459.279","R2L","FFFFFF","25","我先看","1517318149","d03c6431"
"169","449.856","R2L","FFFFFF","25","日本第一孝子","1556872115","d25e0760"
"170","453.885","R2L","FFFFFF","25","聪明，给一个哈士奇看，会怎么样(>_<)","1512483038","fa09f7ad"
"171","454.561","R2L","FFFFFF","25","带孝女","1547548424","4157f8b6"
"172","454.898","R2L","FFFFFF","25","真坑爹2333","1548683846","68499d80"
"173","453.842","R2L","FFFFFF","25","有好几部","1518002946","651db729"
"174","451.149","R2L","FFFFFF","25","原来是一种宣传手段，最开始的微商","1526732647","d25d2f7e"
"175","451.992","R2L","FFFFFF","25","护眼护眼护眼护眼","1518005123","e40c7191"
"176","453.27","R2L","FFFFFF","25","可以给死刑犯看呀！还正好节约子弹","1513186668","e0670ea5"
